
TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
TOR	TOR vs. NJN	03/16/1999	W	48	100	37	87	42.5	1	8	12.5	25	31	80.6	20	35	55	21	17	8	14	21	15
MIA	MIA vs. WAS	03/16/1999	W	48	94	32	59	54.2	4	12	33.3	26	36	72.2	6	29	35	20	16	6	6	21	9
HOU	HOU vs. POR	03/16/1999	W	48	101	32	76	42.1	6	17	35.3	31	40	77.5	10	29	39	23	16	14	5	30	8
GSW	GSW vs. SAC	03/15/1999	L	48	105	47	93	50.5	6	15	40.0	5	7	71.4	13	33	46	28	18	8	2	27	-6
UTA	UTA @ MIN	03/15/1999	W	48	90	30	68	44.1	6	6	100	24	37	64.9	13	32	45	22	19	4	6	18	7
DAL	DAL vs. POR	03/15/1999	L	48	91	37	84	44.0	1	12	8.3	16	23	69.6	12	31	43	18	17	6	7	17	-15
DEN	DEN vs. VAN	03/15/1999	W	48	110	43	75	57.3	7	16	43.8	17	22	77.3	5	31	36	34	16	16	18	27	26
NYK	NYK @ MIL	03/15/1999	W	48	108	36	70	51.4	7	12	58.3	29	35	82.9	13	21	34	22	17	10	3	22	6
POR	POR @ DAL	03/15/1999	W	48	106	40	88	45.5	9	16	56.3	17	22	77.3	16	31	47	22	13	7	7	17	15
TOR	TOR vs. CHH	03/15/1999	W	48	89	27	78	34.6	4	11	36.4	31	38	81.6	15	30	45	18	17	12	8	27	7
MIL	MIL vs. NYK	03/15/1999	L	48	102	39	77	50.6	5	10	50.0	19	27	70.4	12	19	31	17	18	7	3	22	-6
ORL	ORL vs. PHI	03/15/1999	W	48	74	26	91	28.6	6	20	30.0	16	22	72.7	22	26	48	14	14	14	4	16	1
SAC	SAC @ GSW	03/15/1999	W	48	111	41	78	52.6	5	14	35.7	24	40	60.0	11	29	40	28	14	9	6	10	6
PHI	PHI @ ORL	03/15/1999	L	48	73	27	77	35.1	2	7	28.6	17	21	81.0	20	38	58	15	23	5	10	22	-1
CHH	CHH @ TOR	03/15/1999	L	48	82	29	74	39.2	2	14	14.3	22	35	62.9	11	29	40	21	20	11	6	28	-7
MIN	MIN vs. UTA	03/15/1999	L	48	83	32	87	36.8	2	7	28.6	17	20	85.0	19	25	44	19	14	10	4	30	-7
VAN	VAN @ DEN	03/15/1999	L	48	84	31	76	40.8	3	4	75.0	19	32	59.4	13	27	40	15	23	6	2	18	-26
CHI	CHI vs. CLE	03/15/1999	L	53	85	31	87	35.6	2	17	11.8	21	30	70.0	16	34	50	26	16	8	4	22	-4
CLE	CLE @ CHI	03/15/1999	W	53	89	38	84	45.2	5	13	38.5	8	15	53.3	8	32	40	26	18	10	8	29	4
MIA	MIA vs. NJN	03/14/1999	W	48	102	41	91	45.1	4	15	26.7	16	23	69.6	12	39	51	24	10	10	2	17	26
IND	IND vs. BOS	03/14/1999	W	48	99	34	78	43.6	6	16	37.5	25	31	80.6	12	29	41	18	11	5	3	20	3
SAC	SAC vs. LAL	03/14/1999	W	48	105	36	75	48.0	8	20	40.0	25	31	80.6	9	34	43	23	22	9	3	20	4
